epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
152,607900,5.413938,5.354194,-51.515859,51.1944,51.1947,59.9161,59.0399,0.8448,0.4056,1554.62,1001.0,3,1,608000,405.5,0.706602,0.567125,0.121262
153,611900,5.599247,5.572139,-51.920660,51.6040,51.6043,66.2937,65.2918,0.8416,0.3935,1125.49,798.7,11,3,612000,408.6,0.713709,0.572507,0.122850
154,615900,5.599509,5.631380,-52.512242,52.1415,52.1404,63.7328,62.8054,0.8363,0.4129,1154.37,963.6,9,2,616000,411.7,0.713351,0.572268,0.122718
155,619900,,,,,,,,,,821.01,684.3,7,0,620000,412.0,,,
156,623900,5.625860,5.640841,-53.215260,52.8056,52.8056,67.1762,66.6460,0.8725,0.4159,977.23,1001.0,5,2,624000,415.1,0.699744,0.562047,0.119688
157,627900,6.202532,6.286587,-53.598462,53.2265,53.2267,70.3266,70.2321,0.9020,0.4349,989.27,801.4,7,0,628000,418.1,0.703991,0.565202,0.120673
158,631900,6.048332,6.101397,-54.231507,53.8350,53.8347,71.3488,69.8797,0.9161,0.4397,1104.53,825.7,7,2,632000,421.2,0.705532,0.566177,0.121009
159,635900,6.121202,5.950285,-54.595478,54.2471,54.2482,70.9691,66.4329,0.9025,0.4365,1020.91,883.0,8,4,636000,424.3,0.711634,0.570846,0.122305
160,639900,,,,,,,,,,969.05,1001.0,1,0,640000,424.6,,,
161,643900,6.728358,6.700176,-55.371475,54.9223,54.9207,76.6452,74.9495,0.9471,0.4530,1527.64,871.0,2,0,644000,435.0,0.708813,0.568519,0.121708
162,647900,6.541000,6.575939,-55.954319,55.4868,55.4879,71.6638,69.5510,0.9345,0.4514,1218.42,1001.0,3,2,648000,438.0,0.701785,0.563106,0.120178
163,651900,6.313365,6.331447,-56.511275,56.0827,56.0818,74.2860,73.8268,0.9587,0.4610,1595.79,838.4,5,2,652000,441.1,0.700104,0.561875,0.119737
164,655900,6.713521,6.634068,-57.148386,56.7077,56.7077,72.8471,72.2648,0.9361,0.4643,825.40,666.6,5,0,656000,444.2,0.707345,0.567416,0.121353
165,659900,,,,,,,,,,2146.78,1001.0,7,1,660000,444.5,,,
166,663900,7.073065,7.048713,-57.767964,57.2814,57.2812,80.3849,79.8009,0.9499,0.4773,1764.80,871.0,4,1,664000,447.6,0.695032,0.558264,0.118716
167,667900,7.106925,7.040395,-58.266932,57.7850,57.7844,82.8051,82.3600,0.9872,0.4930,1030.30,574.0,2,0,668000,450.7,0.702473,0.563845,0.120404
168,671900,7.423843,7.312839,-58.861836,58.4659,58.4664,85.1778,82.8220,0.9759,0.4825,1434.67,1001.0,4,1,672000,453.8,0.699591,0.561650,0.119635
169,675900,7.745630,7.687322,-59.516401,59.0826,59.0830,87.9757,84.4480,1.0098,0.5084,1027.48,528.8,5,1,676000,456.9,0.710599,0.569845,0.122117
170,679900,,,,,,,,,,1278.51,630.5,6,1,680000,457.2,,,
171,683900,7.071915,7.131516,-59.960169,59.5558,59.5563,79.4550,79.2936,0.9980,0.4837,793.15,304.0,1,0,684000,467.9,0.709432,0.568967,0.121946
172,687900,7.472382,7.493484,-60.611020,60.1900,60.1890,89.2109,87.0344,1.0431,0.4981,1755.12,768.9,7,1,688000,471.0,0.692756,0.556440,0.118115
173,691900,8.690309,8.700633,-61.109882,60.7066,60.7060,94.0918,90.6507,1.0368,0.5032,1377.10,551.1,9,3,692000,474.1,0.696649,0.559353,0.118963
