epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
53,211900,242.041893,241.410576,-447.660884,447.1116,447.1159,8076.6724,7512.6320,0.0000,0.0000,,,0,0,212000,41.4
54,215900,230.291454,227.283536,-460.225472,459.3647,459.3688,9932.1525,8661.7636,0.0000,0.0000,,,0,0,216000,42.2
55,219900,,,,,,,,,,,,0,0,220000,42.9
56,223900,247.515068,246.149087,-473.132267,471.9897,472.0012,10401.4267,9909.3857,0.0000,0.0000,,,0,0,224000,43.7
57,227900,284.542163,285.163498,-484.850015,483.3762,483.3606,10443.6142,9775.5782,0.0000,0.0000,,,0,0,228000,44.5
58,231900,286.880003,287.312459,-495.932209,495.1608,495.1835,9289.0992,9619.0596,0.0000,0.0000,,,0,0,232000,45.3
59,235900,259.551317,256.573967,-508.699670,507.4153,507.4222,10524.7795,9034.5312,0.0000,0.0000,,,0,0,236000,46.1
60,239900,,,,,,,,,,,,0,0,240000,46.8
61,243900,290.768586,289.800931,-521.998962,520.5079,520.4867,14752.6968,15284.2006,0.0000,0.0000,,,0,0,244000,47.6
62,247900,216.067224,214.284959,-534.949304,533.3145,533.3165,8657.4807,8484.0515,0.0000,0.0000,,,0,0,248000,48.4
63,251900,265.642717,265.887430,-547.643596,545.6581,545.6694,7620.6473,7969.3224,0.0000,0.0000,,,0,0,252000,49.2
64,255900,287.844874,286.731604,-558.293618,557.0954,557.0894,16739.8855,16668.1419,0.0000,0.0000,,,0,0,256000,50.0
65,259900,,,,,,,,,,,,0,0,260000,50.7
66,263900,256.970026,256.492518,-572.410056,570.0261,570.0192,9416.6824,9164.1992,0.0000,0.0000,,,0,0,264000,51.5
67,267900,310.791155,312.536490,-584.517688,582.3331,582.3457,11793.5874,13398.2216,0.0000,0.0000,,,0,0,268000,52.4
68,271900,369.650297,372.766575,-595.495649,593.7946,593.8215,12694.6984,13189.8896,0.0000,0.0000,,,0,0,272000,53.2
69,275900,336.062751,331.125959,-608.202588,606.4951,606.4552,21007.3062,17883.9359,0.0000,0.0000,,,0,0,276000,54.0
70,279900,,,,,,,,,,,,0,0,280000,54.6
71,283900,299.230126,299.034887,-619.774080,617.4760,617.4826,13698.5608,13552.6255,0.0000,0.0000,,,0,0,284000,55.5
72,287900,324.524368,325.157245,-634.058186,631.0934,631.1144,10473.4309,10400.7688,0.0000,0.0000,,,0,0,288000,56.3
