epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
93,371900,2.920503,2.907749,-33.471764,32.8361,32.8367,10.1315,9.6616,2.6165,0.1939,795.27,448.0,1,1,372000,468.1,0.019959,0.015265,0.002347
94,375900,2.937812,2.927160,-33.898794,33.2459,33.2459,10.0642,9.8418,2.5695,0.2005,1306.03,1001.0,3,1,376000,474.6,0.008151,0.004649,0.001751
95,379900,,,,,,,,,,,,0,0,380000,474.9,,,
96,383900,3.057159,3.072371,-34.292386,33.6478,33.6480,10.6144,10.3842,2.5550,0.2034,889.77,700.0,2,2,384000,481.5,0.010551,0.006726,0.001912
97,387900,3.074901,3.066069,-34.663685,34.0068,34.0070,10.5003,10.2205,2.3787,0.2103,774.09,698.3,7,2,388000,487.7,0.025312,0.020568,0.002372
98,391900,3.204135,3.215990,-35.119981,34.4526,34.4535,11.1021,10.7284,2.6703,0.2131,799.05,1001.0,1,1,392000,494.0,0.047628,0.041216,0.003206
99,395900,3.264868,3.261927,-35.503718,34.8603,34.8604,11.3771,10.9791,2.8825,0.2198,,,0,0,396000,500.2,0.020598,0.016495,0.002051
100,399900,,,,,,,,,,1348.23,1001.0,1,0,400000,500.6,,,
101,403900,3.298730,3.276966,-35.947677,35.2589,35.2584,11.4018,10.9616,2.5111,0.2225,1200.60,1001.0,10,5,404000,506.9,0.010543,0.006879,0.001832
102,407900,3.373261,3.369062,-36.328356,35.6575,35.6584,11.5020,11.1416,2.7457,0.2226,1020.02,1001.0,1,1,408000,513.2,0.030891,0.026213,0.002339
