epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
172,687900,1.203847,1.119530,-13.070466,12.5741,12.5694,4.1726,7.0583,2.0199,0.1377,47.28,49.3,82,42,688000,97.3
173,691900,1.249092,1.156987,-13.117448,12.6581,12.6590,4.6280,6.8753,1.8001,0.0780,48.50,50.5,72,36,692000,98.0
174,695900,1.161150,1.083782,-13.226100,12.7496,12.7499,4.2241,6.6940,1.7506,0.1093,55.10,57.1,67,37,696000,98.6
175,699900,,,,,,,,,,56.75,58.8,64,36,700000,98.8
176,703900,1.217447,1.131307,-13.267023,12.8082,12.8075,4.4756,7.6692,1.5755,0.0942,57.17,59.2,75,39,704000,99.5
177,707900,1.208931,1.127880,-13.347765,12.8764,12.8724,4.5380,7.4393,3.0140,0.1054,54.18,56.2,78,31,708000,100.1
178,711900,1.273467,1.181966,-13.446416,12.9617,12.9627,4.4882,7.4374,2.2719,0.0598,49.03,51.0,70,34,712000,100.8
179,715900,1.254548,1.174285,-13.505435,13.0468,13.0456,4.9334,8.9735,1.7576,0.1007,50.34,52.3,67,41,716000,101.4
180,719900,,,,,,,,,,52.91,54.9,92,40,720000,101.6
181,723900,1.283493,1.205980,-13.608245,13.1270,13.1259,4.6196,7.9143,1.1755,0.0584,49.94,51.9,72,38,724000,102.3
182,727900,1.269232,1.183746,-13.623614,13.1550,13.1561,4.8500,8.3495,2.0337,0.0825,50.67,52.7,70,33,728000,103.0
183,731900,1.220449,1.146009,-13.747972,13.2732,13.2733,4.2920,7.4910,1.9255,0.1153,51.28,53.3,74,27,732000,103.7
184,735900,1.382135,1.301626,-13.820848,13.3389,13.3353,5.5374,9.0260,2.6715,0.0936,48.94,50.9,86,43,736000,104.3
185,739900,,,,,,,,,,48.44,50.4,86,41,740000,104.6
186,743900,1.302834,1.229173,-13.906943,13.4232,13.4215,5.1973,8.8992,2.2918,0.0884,48.00,50.0,73,35,744000,105.2
187,747900,1.327504,1.223270,-13.949869,13.4507,13.4531,4.8178,8.1666,1.6940,0.0806,49.19,51.2,63,30,748000,105.9
188,751900,1.312340,1.222172,-14.084613,13.5722,13.5730,4.6455,8.0376,1.6450,0.0738,52.54,54.5,80,45,752000,106.6
189,755900,1.329448,1.253280,-14.122925,13.6562,13.6555,4.9046,9.1114,3.6369,0.1206,56.89,58.9,65,38,756000,107.2
190,759900,,,,,,,,,,60.86,62.9,57,27,760000,107.4
191,763900,1.347193,1.260682,-14.205047,13.7198,13.7156,5.6125,8.9966,1.8400,0.0908,57.85,59.8,71,48,764000,108.1
192,767900,1.378135,1.296027,-14.310094,13.7980,13.7993,4.9195,9.3978,2.3044,0.1127,63.96,66.0,74,32,768000,108.7
193,771900,1.392623,1.303045,-14.365761,13.8797,13.8787,5.1410,8.8107,2.3939,0.0916,55.89,57.9,47,21,772000,109.4
194,775900,1.398553,1.328705,-14.435447,13.9181,13.9162,5.5860,10.0407,1.6375,0.0809,54.15,56.1,81,40,776000,110.0
195,779900,,,,,,,,,,52.75,54.8,89,48,780000,110.2
196,783900,1.383169,1.297379,-14.487387,14.0182,14.0163,5.3082,9.4639,2.9731,0.1733,54.00,56.0,66,39,784000,110.9
197,787900,1.448061,1.347302,-14.594571,14.0596,14.0590,5.9690,10.3276,2.6238,0.1785,51.27,53.3,55,27,788000,111.5
198,791900,1.377514,1.282904,-14.695227,14.1969,14.1976,5.0811,9.4814,1.7955,0.1037,56.36,58.4,84,39,792000,112.2
199,795900,1.412511,1.331806,-14.700854,14.2267,14.2291,5.1346,9.5401,2.4697,0.1164,57.48,59.5,66,42,796000,112.8
200,799900,,,,,,,,,,57.61,59.6,49,24,800000,113.1
201,803900,1.437039,1.355059,-14.836191,14.3170,14.3122,6.1766,11.5211,2.6677,0.0909,59.92,61.9,86,42,804000,113.7
202,807900,1.384076,1.299563,-14.879411,14.3792,14.3788,4.9563,9.5530,2.3399,0.1032,57.79,59.8,57,35,808000,114.4
203,811900,1.460444,1.382648,-14.975643,14.4669,14.4680,4.9873,9.8500,1.5117,0.1139,58.09,60.1,58,32,812000,115.1
204,815900,1.450865,1.357977,-15.072870,14.5627,14.5554,5.7525,10.6173,2.0030,0.0994,57.81,59.8,85,37,816000,115.8
205,819900,,,,,,,,,,56.77,58.8,65,35,820000,116.0
206,823900,1.522935,1.439592,-15.124068,14.6107,14.6115,5.9146,10.6930,1.9414,0.1137,56.00,58.0,55,24,824000,116.7
207,827900,1.529811,1.431241,-15.167885,14.6811,14.6866,6.9778,11.7449,2.3864,0.1002,56.91,58.9,79,44,828000,117.3
208,831900,1.508921,1.410499,-15.300089,14.7819,14.7808,5.4876,10.1196,2.4554,0.1087,57.36,59.4,67,32,832000,118.0
209,835900,1.463798,1.369377,-15.277419,14.8089,14.8039,6.4924,11.8990,3.9460,0.1229,61.23,63.2,43,24,836000,118.7
210,839900,,,,,,,,,,63.91,65.9,85,42,840000,118.9
211,843900,1.480105,1.388176,-15.413884,14.9148,14.9108,6.1524,11.0074,1.7804,0.0767,58.81,60.8,57,28,844000,119.6
212,847900,1.539294,1.448242,-15.442488,14.9671,14.9694,5.2682,9.7425,1.8564,0.0927,58.95,61.0,60,27,848000,120.2
213,851900,1.546646,1.441814,-15.564443,15.0569,15.0607,6.8303,11.1720,1.9209,0.0991,58.29,60.3,79,44,852000,120.9
214,855900,1.589898,1.480365,-15.609008,15.1039,15.1029,7.0107,12.3687,2.2456,0.1516,59.90,61.9,50,32,856000,121.6
215,859900,,,,,,,,,,64.67,66.7,61,28,860000,121.8
216,863900,1.608143,1.491005,-15.660966,15.1651,15.1659,7.1376,12.2925,2.9026,0.1466,71.32,73.3,53,21,864000,122.4
