epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
127,507900,210.620289,213.371828,-75.552100,70.0616,70.0684,436.6625,420.9309,0.7331,0.0778,209.15,24.7,171,84,508000,77.3
128,511900,215.072660,218.374534,-76.047438,70.5096,70.5068,457.2514,436.2917,0.9681,0.1109,208.14,24.6,154,79,512000,78.0
129,515900,214.615818,217.544011,-76.438549,70.9606,70.9595,431.5513,386.5316,0.8082,0.1090,209.91,24.8,163,90,516000,78.6
130,519900,,,,,,,,,,202.10,24.0,170,88,520000,78.9
131,523900,219.416774,221.871609,-77.158033,71.8325,71.8261,494.0102,457.3376,0.8815,0.2932,214.92,25.3,152,73,524000,79.6
132,527900,219.875694,222.805963,-77.939003,72.5290,72.5161,553.7876,543.3583,0.8450,0.1848,212.90,25.1,156,73,528000,80.3
133,531900,224.507186,227.349337,-78.221225,72.8269,72.8221,500.3248,457.8877,1.0402,0.1442,210.43,24.8,166,79,532000,81.0
134,535900,223.219084,226.182187,-78.883307,73.5211,73.5402,534.6462,507.8553,1.1345,0.1586,213.47,25.2,161,78,536000,81.7
135,539900,,,,,,,,,,206.72,24.4,162,79,540000,81.9
136,543900,231.095471,233.741219,-79.602805,74.2136,74.2006,516.3506,505.4598,0.8965,0.1149,215.23,25.4,163,70,544000,82.6
137,547900,234.226894,236.724576,-79.859592,74.5335,74.5371,573.7330,558.4134,1.1813,0.1019,212.85,25.1,155,76,548000,83.4
138,551900,237.596853,240.577149,-80.582980,75.1111,75.0931,513.9838,491.6126,1.0480,0.1152,213.29,25.1,155,85,552000,84.1
139,555900,235.118388,237.784701,-81.135093,75.8930,75.8952,501.0688,471.4963,0.9776,0.1281,223.03,26.2,157,72,556000,84.8
140,559900,,,,,,,,,,215.33,25.4,158,73,560000,85.0
141,563900,235.307284,237.652038,-81.773712,76.3851,76.3753,525.3718,491.1799,1.0353,0.1050,211.42,24.9,150,74,564000,85.7
142,567900,238.538585,241.030939,-82.364763,76.9025,76.8914,502.9538,453.2401,0.8738,0.0871,220.32,25.9,156,95,568000,86.5
143,571900,242.344031,244.531333,-82.841057,77.3597,77.3614,536.3022,505.9527,0.8726,0.1399,224.37,26.3,162,86,572000,87.2
144,575900,244.029936,245.235395,-83.413096,78.1708,78.1584,514.5406,500.1479,1.0219,0.1372,215.51,25.4,155,80,576000,87.9
145,579900,,,,,,,,,,217.50,25.6,157,86,580000,88.2
146,583900,243.717210,246.318631,-83.910764,78.5182,78.5085,538.6867,508.6929,0.8485,0.1309,214.87,25.3,158,80,584000,88.8
147,587900,242.221571,244.883492,-84.813671,79.3246,79.3059,559.5085,550.0049,1.1636,0.1317,205.65,24.3,165,80,588000,89.5
148,591900,247.722614,248.940972,-85.168512,79.6077,79.6195,627.3090,585.4668,0.9471,0.1243,211.02,24.9,161,75,592000,90.2
149,595900,254.094056,254.928859,-85.387502,79.9481,79.9251,571.4920,527.5928,1.2143,0.1052,215.15,25.3,158,67,596000,90.9
150,599900,,,,,,,,,,216.07,25.4,149,79,600000,91.1
151,603900,253.196321,255.012897,-86.218951,80.7271,80.7155,564.4826,534.8213,0.8414,0.1035,222.24,26.1,160,72,604000,91.9
152,607900,258.435905,259.794846,-86.403466,81.0525,81.0516,589.5377,566.4073,1.1534,0.1551,218.76,25.7,154,74,608000,92.5
153,611900,266.463183,267.525653,-87.203965,81.7052,81.6831,613.9128,586.1053,1.1284,0.1198,219.75,25.8,152,75,612000,93.2
154,615900,253.242271,255.089232,-87.921823,82.3703,82.3654,571.0854,519.3120,1.4956,0.1226,223.44,26.2,159,88,616000,93.9
155,619900,,,,,,,,,,221.91,26.1,145,65,620000,94.1
156,623900,257.286057,258.363138,-88.304832,82.8892,82.8754,589.9851,572.9049,1.3677,0.1084,218.90,25.7,158,70,624000,94.8
157,627900,270.149698,271.162036,-88.783667,83.2582,83.2640,615.3247,612.9277,1.2195,0.1595,218.33,25.7,161,86,628000,95.5
158,631900,266.698637,269.158242,-88.930742,83.6423,83.6189,795.0844,779.2662,1.2673,0.1692,223.00,26.2,149,78,632000,96.2
159,635900,266.471664,267.121628,-89.560271,84.1251,84.0980,665.1839,620.5530,1.1148,0.1603,220.91,25.9,155,72,636000,96.8
160,639900,,,,,,,,,,236.21,27.6,139,78,640000,97.1
161,643900,274.541155,274.320724,-90.081064,84.6835,84.6729,694.7135,653.7716,1.4005,0.1599,230.82,27.0,149,79,644000,97.8
162,647900,278.735244,279.879129,-90.436104,84.9029,84.8991,678.3391,649.3965,1.0443,0.1328,222.31,26.1,153,77,648000,98.5
163,651900,280.079971,280.850365,-91.007496,85.8179,85.8038,648.0791,636.4061,1.1543,0.1945,236.81,27.6,150,76,652000,99.1
164,655900,286.514886,286.477202,-91.306044,86.0075,86.0104,687.8186,619.6869,1.5103,0.2236,232.22,27.2,145,78,656000,99.8
165,659900,,,,,,,,,,240.68,28.1,143,80,660000,100.0
166,663900,275.065993,274.351794,-92.361521,86.6135,86.5917,640.4634,587.7777,1.4519,0.1550,226.87,26.6,147,71,664000,100.7
167,667900,281.377938,279.971776,-92.333660,86.9618,86.9554,680.4766,633.9648,1.6945,0.1137,230.37,27.0,162,91,668000,101.4
168,671900,288.274360,287.868342,-92.912319,87.3908,87.3700,663.5342,615.2319,1.3075,0.1501,226.95,26.6,138,77,672000,102.0
169,675900,280.516572,278.839207,-93.599974,88.0997,88.1013,727.5517,691.9495,1.0280,0.1602,227.42,26.6,148,77,676000,102.7
170,679900,,,,,,,,,,224.96,26.4,156,63,680000,102.9
171,683900,290.247889,289.122161,-94.017792,88.3604,88.3221,770.2699,758.1938,1.3225,0.1486,239.30,27.9,143,80,684000,103.6
172,687900,289.617982,287.968024,-94.534485,88.7113,88.7222,788.9947,752.9568,1.5342,0.1583,240.91,28.1,143,64,688000,104.2
173,691900,298.240250,295.601505,-94.973599,89.4221,89.3944,690.5122,651.7455,1.4142,0.1682,230.69,27.0,145,68,692000,104.9
174,695900,289.012786,288.428568,-94.993049,89.6039,89.5929,753.9479,715.2293,1.7393,0.1460,228.34,26.7,152,87,696000,105.6
175,699900,,,,,,,,,,235.83,27.5,141,69,700000,105.8
176,703900,302.127310,300.779272,-96.004735,90.2253,90.2239,632.7973,607.1081,1.3582,0.1682,236.09,27.6,152,73,704000,106.5
177,707900,294.454426,291.790253,-96.993032,91.0171,90.9956,701.8022,629.8174,1.6118,0.1801,234.32,27.4,139,75,708000,107.1
178,711900,295.041522,293.795332,-96.638970,91.2109,91.1830,692.6849,656.9243,1.7194,0.1470,228.59,26.7,153,77,712000,107.8
179,715900,300.684575,298.932469,-97.464924,91.5317,91.5204,711.2442,677.7837,1.5417,0.1446,236.72,27.6,142,60,716000,108.5
180,719900,,,,,,,,,,239.19,27.9,141,78,720000,108.7
181,723900,295.385112,293.239297,-97.954939,92.1364,92.1268,743.7384,688.9445,1.7155,0.1902,244.78,28.5,141,73,724000,109.4
182,727900,309.250847,306.064473,-98.265878,92.5113,92.4853,685.7970,641.4228,1.5027,0.1653,250.57,29.1,140,75,728000,110.0
183,731900,307.722189,306.265088,-98.771840,92.6766,92.6693,731.8698,678.5423,1.3664,0.1759,247.16,28.7,139,75,732000,110.7
184,735900,303.527059,301.357003,-99.355129,93.3169,93.3046,1026.4286,960.2753,1.5425,0.1694,259.96,30.1,134,73,736000,111.4
185,739900,,,,,,,,,,236.10,27.5,146,67,740000,111.7
186,743900,310.398736,307.872571,-99.224533,93.7029,93.6967,891.3339,841.6303,1.4505,0.2063,242.20,28.2,135,61,744000,112.2
187,747900,309.646316,305.907350,-100.200905,94.2937,94.2941,838.0837,766.9057,1.6784,0.2027,243.74,28.4,147,72,748000,112.9
188,751900,309.009781,304.624890,-100.150201,94.6305,94.6188,816.3016,722.0233,1.5646,0.1270,236.60,27.6,144,72,752000,113.6
189,755900,302.064167,298.044156,-100.781831,95.0580,95.0557,814.2039,776.6416,1.5232,0.1621,242.55,28.2,141,64,756000,114.3
190,759900,,,,,,,,,,231.47,27.1,156,76,760000,114.5
191,763900,303.372928,300.124674,-101.425166,95.6232,95.5998,876.9440,819.5246,1.4769,0.1397,221.34,26.0,144,74,764000,115.2
