epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
155,619900,,,,,,,,,,,,0,0,620000,224.4,,,
156,623900,16.196310,15.976415,-95.038787,94.1909,94.1910,185.1945,225.7404,2.8212,0.3659,,,0,0,624000,226.1,0.106119,0.090843,0.007638
157,627900,16.778138,16.583725,-96.633498,95.5832,95.5837,186.1350,231.4621,2.7707,0.3777,,,0,0,628000,227.9,0.082362,0.070934,0.005714
158,631900,15.493269,15.302934,-98.065137,96.9257,96.9256,170.1355,206.5629,2.7982,0.3707,,,0,0,632000,229.6,0.097921,0.084567,0.006677
159,635900,17.201740,17.010547,-99.312240,98.4408,98.4418,200.9516,243.0076,2.8135,0.3663,,,0,0,636000,231.4,0.077454,0.067604,0.004925
160,639900,,,,,,,,,,,,0,0,640000,231.5,,,
161,643900,15.793876,15.551390,-100.669843,99.6445,99.6456,184.4468,226.4734,2.8525,0.3797,,,0,0,644000,233.3,0.078697,0.068514,0.005091
162,647900,17.619981,17.410545,-102.147274,101.1875,101.1870,197.0423,239.7826,2.8849,0.3877,,,0,0,648000,235.1,0.074072,0.065083,0.004495
163,651900,17.944926,17.724600,-103.475498,102.5438,102.5456,190.1317,225.3223,2.9585,0.3941,,,0,0,652000,236.9,0.067099,0.058071,0.004514
164,655900,18.098550,17.899466,-105.012762,104.0466,104.0471,200.3927,243.1361,3.2030,0.4000,,,0,0,656000,238.7,0.073581,0.063444,0.005068
165,659900,,,,,,,,,,,,0,0,660000,238.8,,,
166,663900,17.433783,17.226901,-106.405909,105.4552,105.4551,202.3051,243.0240,2.9621,0.3896,,,0,0,664000,240.7,0.058788,0.050595,0.004097
167,667900,17.786770,17.558620,-107.964326,107.0166,107.0169,214.0236,257.0109,3.1504,0.4154,,,0,0,668000,242.4,0.063741,0.055703,0.004019
168,671900,18.215633,18.008370,-109.220704,108.2789,108.2800,197.7141,238.0282,2.9254,0.3827,,,0,0,672000,244.2,0.044537,0.038033,0.003252
169,675900,18.494420,18.237373,-110.352407,109.4676,109.4682,211.9504,256.8409,3.0470,0.4183,,,0,0,676000,246.1,0.049547,0.043073,0.003237
170,679900,,,,,,,,,,,,0,0,680000,246.2,,,
171,683900,17.811077,17.615122,-112.195860,111.2247,111.2250,203.6899,247.9979,3.0436,0.4134,,,0,0,684000,248.0,0.062194,0.053315,0.004439
172,687900,19.511022,19.285921,-113.574326,112.5926,112.5936,238.2727,292.1633,3.1780,0.4177,,,0,0,688000,249.8,0.059827,0.051843,0.003992
173,691900,19.111811,18.880581,-114.731129,113.9155,113.9164,221.5132,271.4895,3.1755,0.4120,,,0,0,692000,251.6,0.046830,0.040438,0.003196
174,695900,19.594574,19.364082,-116.693096,115.5224,115.5225,224.4335,272.3248,3.3308,0.4262,,,0,0,696000,253.4,0.050849,0.043438,0.003705
175,699900,,,,,,,,,,,,0,0,700000,253.5,,,
176,703900,18.782559,18.544158,-117.492194,116.6398,116.6403,234.9170,280.3165,3.4189,0.4146,4029.52,1001.0,100,52,704000,255.3,0.045368,0.039331,0.003018
177,707900,26.064790,25.824631,-118.936530,118.0216,118.0216,288.1508,345.2106,3.4873,0.4337,,,0,0,708000,257.1,0.225573,0.199389,0.013092
178,711900,26.467053,26.258360,-120.072555,119.1532,119.1541,285.5061,354.6117,3.2731,0.4181,,,0,0,712000,259.0,0.125323,0.107837,0.008743
179,715900,26.284947,26.141280,-121.520329,120.5877,120.5886,258.6682,319.9248,3.3725,0.4252,,,0,0,716000,260.8,0.086258,0.074571,0.005843
180,719900,,,,,,,,,,,,0,0,720000,260.9,,,
181,723900,25.445569,25.213355,-122.867165,121.9104,121.9111,263.7460,327.6482,3.2931,0.4326,,,0,0,724000,262.7,0.082695,0.071180,0.005758
182,727900,25.582568,25.379225,-124.120264,123.2942,123.2941,264.1223,321.7922,3.1683,0.4396,,,0,0,728000,264.5,0.098040,0.085233,0.006403
183,731900,25.280549,25.083303,-125.306236,124.5989,124.5998,262.3240,326.7270,3.2478,0.4494,,,0,0,732000,266.3,0.078068,0.068303,0.004882
184,735900,26.951392,26.746774,-126.820884,125.8994,125.8995,284.8932,346.5886,3.5364,0.4605,,,0,0,736000,268.1,0.089165,0.077943,0.005611
185,739900,,,,,,,,,,,,0,0,740000,268.2,,,
186,743900,25.847607,25.639026,-128.160635,127.2055,127.2070,276.5150,333.9451,3.3318,0.4589,,,0,0,744000,270.1,0.082317,0.071387,0.005465
187,747900,25.244016,25.035258,-129.359699,128.3391,128.3387,273.7952,335.4794,3.2908,0.4489,,,0,0,748000,271.8,0.069088,0.059670,0.004709
188,751900,25.319957,25.114339,-130.365686,129.5134,129.5146,269.4600,330.9514,3.4408,0.4554,,,0,0,752000,273.6,0.062877,0.053878,0.004499
189,755900,27.429541,27.196987,-131.902961,130.9235,130.9234,297.2638,357.1594,3.5001,0.4736,,,0,0,756000,275.4,0.055587,0.048161,0.003713
190,759900,,,,,,,,,,,,0,0,760000,275.6,,,
191,763900,26.596704,26.361391,-132.936013,132.2970,132.2991,288.4733,349.8235,3.4158,0.4948,,,0,0,764000,277.4,0.057675,0.049872,0.003901
192,767900,26.855450,26.614326,-134.390992,133.4987,133.4984,294.5666,364.4071,3.6315,0.4669,,,0,0,768000,279.1,0.066044,0.058351,0.003846
193,771900,27.744514,27.553585,-135.444592,134.6182,134.6188,305.9364,364.9762,3.6595,0.4624,,,0,0,772000,280.9,0.061849,0.053550,0.004149
194,775900,26.349726,26.124060,-136.837942,135.8665,135.8665,290.5268,351.2360,3.5676,0.4708,,,0,0,776000,282.7,0.051322,0.043575,0.003874
195,779900,,,,,,,,,,,,0,0,780000,282.8,,,
196,783900,26.195752,25.970423,-137.998147,137.0395,137.0402,299.4673,367.1931,3.6584,0.5139,,,0,0,784000,284.5,0.048606,0.041918,0.003344
197,787900,28.623909,28.418994,-139.192084,138.3886,138.3886,302.4721,379.3846,3.5950,0.4947,,,0,0,788000,286.3,0.056678,0.048932,0.003873
