epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
121,483900,201.534862,203.000264,-73.645781,66.7710,66.7691,598.4065,532.1657,1.8290,0.0000,179.46,21.5,188,83,484000,115.4,0.662754,0.565708,0.048523
122,487900,206.903096,209.627618,-74.436750,67.3750,67.3827,533.4526,491.7930,1.7127,0.0000,182.32,21.8,183,88,488000,116.8,0.658655,0.562486,0.048085
123,491900,208.160632,210.847388,-74.944760,68.0300,68.0157,554.6159,516.1473,1.7478,0.0000,186.83,22.3,168,89,492000,118.2,0.665119,0.567587,0.048766
124,495900,214.130625,216.346310,-75.838568,68.7023,68.7122,505.0220,467.6202,1.5957,0.0000,193.64,23.1,176,75,496000,119.6,0.654935,0.560162,0.047386
125,499900,,,,,,,,,,182.49,21.8,184,90,500000,119.8,,,
126,503900,214.730082,217.646077,-76.545824,69.2658,69.2685,535.2755,491.9265,1.1322,0.0000,181.05,21.7,185,93,504000,121.2,0.645998,0.552212,0.046893
127,507900,213.816136,215.719491,-77.117477,70.2073,70.2045,629.2801,566.5739,1.6352,0.0000,174.78,21.0,198,104,508000,122.7,0.646261,0.551406,0.047427
128,511900,217.226237,219.292951,-77.287401,70.2545,70.2566,497.9436,452.1775,2.3633,0.0000,168.32,20.3,192,94,512000,124.1,0.661228,0.564208,0.048510
129,515900,223.486549,225.522084,-78.153157,71.1935,71.1919,543.8557,507.4404,1.6887,0.0000,182.27,21.8,183,91,516000,125.6,0.643252,0.549398,0.046927
130,519900,,,,,,,,,,188.64,22.5,172,82,520000,125.8,,,
131,523900,225.667050,228.394014,-78.822899,71.8417,71.8533,605.7642,543.9811,1.8644,0.0000,195.91,23.3,178,97,524000,127.2,0.666754,0.569225,0.048764
132,527900,224.264287,226.938654,-79.366463,72.5155,72.5048,535.6047,487.9894,1.8343,0.0000,179.85,21.6,192,99,528000,128.6,0.663537,0.566878,0.048329
133,531900,232.339941,235.206405,-79.978082,72.8331,72.8223,644.3816,553.9570,1.8641,0.0000,170.79,20.6,188,95,532000,130.1,0.644075,0.550964,0.046556
134,535900,232.618706,235.354185,-80.641384,73.6595,73.6666,761.2390,678.7930,1.6957,0.0000,188.20,22.5,175,89,536000,131.4,0.642715,0.550076,0.046319
135,539900,,,,,,,,,,176.02,21.1,194,100,540000,131.7,,,
136,543900,231.369752,233.591748,-80.910509,74.1801,74.1760,646.9390,587.1121,1.8905,0.0000,174.34,21.0,188,86,544000,133.1,0.638806,0.546159,0.046324
137,547900,234.236611,236.441417,-81.774512,74.5124,74.5140,701.1778,622.8405,2.0636,0.0000,186.95,22.3,178,88,548000,134.5,0.630379,0.539596,0.045392
138,551900,243.116295,246.143479,-82.094283,75.1096,75.0976,894.6371,809.5181,2.2275,0.0000,181.56,21.7,178,100,552000,136.0,0.632702,0.541460,0.045621
139,555900,234.900824,237.379781,-82.937683,75.8166,75.8087,792.4458,708.1107,2.0297,0.0000,195.68,23.3,181,93,556000,137.3,0.639888,0.548012,0.045938
140,559900,,,,,,,,,,180.14,21.6,183,75,560000,137.5,,,
141,563900,247.504430,251.166759,-83.378718,76.3078,76.3121,736.8020,671.7701,1.7462,0.0000,183.88,22.0,183,86,564000,138.9,0.627883,0.537427,0.045228
142,567900,245.167878,247.798268,-84.050764,77.1516,77.1408,640.3638,574.7663,1.7387,0.0000,197.93,23.5,164,84,568000,140.4,0.641894,0.548808,0.046543
143,571900,249.698645,252.039565,-84.706226,77.5254,77.5194,711.1671,632.1137,2.3056,0.0000,196.03,23.3,174,73,572000,141.7,0.669602,0.571941,0.048830
144,575900,251.229583,254.615745,-84.979891,77.9159,77.9193,835.4047,746.1634,1.9489,0.0000,206.99,24.5,155,79,576000,143.1,0.652510,0.557416,0.047547
145,579900,,,,,,,,,,199.28,23.7,175,93,580000,143.4,,,
146,583900,253.600747,255.896017,-85.696491,78.4683,78.4731,674.9569,617.6171,2.3425,0.0000,190.76,22.7,178,101,584000,144.8,0.639644,0.546936,0.046354
147,587900,257.696772,261.364235,-86.364518,79.2091,79.2082,779.0937,712.1977,2.3648,0.0000,200.00,23.7,168,91,588000,146.2,0.657996,0.561946,0.048025
148,591900,257.441077,260.138982,-86.672163,79.4847,79.4830,710.5887,654.9910,1.9037,0.0000,197.79,23.5,170,90,592000,147.6,0.647820,0.554333,0.046744
149,595900,257.204440,260.008941,-87.462357,80.0842,80.0807,781.5836,712.0373,2.4501,0.0000,185.63,22.2,181,85,596000,149.0,0.644570,0.550806,0.046882
150,599900,,,,,,,,,,195.53,23.2,173,81,600000,149.3,,,
151,603900,263.664465,266.547378,-87.444540,80.1615,80.1654,821.8973,743.4420,2.2199,0.0000,191.74,22.8,179,85,604000,150.7,0.647923,0.554147,0.046888
152,607900,274.293170,277.157119,-87.766765,80.7389,80.7344,799.8284,741.3501,2.4243,0.0000,197.66,23.5,167,82,608000,152.1,0.663195,0.566191,0.048502
153,611900,272.674487,275.939394,-88.720733,81.5379,81.5496,814.7461,756.2974,2.8961,0.0000,203.36,24.1,166,69,612000,153.5,0.658980,0.562836,0.048072
