epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
99,395900,178.563913,178.899640,-455.789185,452.8382,452.8107,7392.5297,7427.2205,0.0000,0.0000,,,0,0,396000,89.1,0.000093,0.000084,0.000004
100,399900,,,,,,,,,,,,0,0,400000,89.8,,,
101,403900,148.259888,146.096702,-459.584299,457.0438,457.0264,9636.2845,9021.4588,0.0000,0.0000,53386.07,1001.0,100,46,404000,90.8,0.000083,0.000075,0.000004
102,407900,192.185180,191.294419,-470.307910,466.9958,467.0379,5738.5297,6663.0652,0.0000,0.0000,,,0,0,408000,91.8,0.180328,0.168376,0.005976
103,411900,208.944695,204.747229,-473.312338,472.5028,472.4846,12082.8172,12324.2906,0.0000,0.0000,,,0,0,412000,92.8,0.138582,0.127529,0.005527
104,415900,185.565143,184.497278,-483.919755,480.3717,480.3772,6772.3442,7353.2799,0.0000,0.0000,,,0,0,416000,93.8,0.035405,0.032099,0.001653
105,419900,,,,,,,,,,,,0,0,420000,94.5,,,
106,423900,242.700454,236.337129,-489.444484,485.7402,485.7138,13413.3240,12752.1373,0.0000,0.0000,,,0,0,424000,95.5,0.089892,0.081493,0.004200
107,427900,239.083525,233.594957,-492.999312,491.9676,491.9674,11599.4786,11961.3634,0.0000,0.0000,,,0,0,428000,96.5,0.010061,0.008856,0.000603
108,431900,228.206698,222.051569,-498.735388,496.0740,496.0794,8390.9527,8791.6411,0.0000,0.0000,,,0,0,432000,97.6,0.044821,0.040541,0.002140
109,435900,209.165468,211.245488,-503.955969,502.4814,502.4646,6000.2302,7222.2010,0.0000,0.0000,,,0,0,436000,98.6,0.004086,0.003379,0.000353
110,439900,,,,,,,,,,,,0,0,440000,99.2,,,
111,443900,220.149319,218.985911,-511.182285,507.0469,507.0581,8387.9337,8408.5490,0.0000,0.0000,,,0,0,444000,100.2,0.045276,0.041292,0.001992
112,447900,268.699344,266.545162,-516.006501,513.7986,513.8014,9463.4994,9651.4305,0.0000,0.0000,,,0,0,448000,101.3,0.007403,0.006770,0.000317
113,451900,198.273696,196.908223,-521.151827,516.9266,516.9404,10281.8654,10439.8449,0.0000,0.0000,,,0,0,452000,102.3,0.008451,0.007567,0.000442
114,455900,257.172726,250.967015,-526.301997,522.8446,522.8527,12010.6652,11322.9010,0.0000,0.0000,,,0,0,456000,103.3,0.019325,0.017656,0.000834
115,459900,,,,,,,,,,,,0,0,460000,104.0,,,
